# archive_pattern	package	version	Alpine_declared_license	license_file	Alpine_APKBUILD
/usr/lib/gcc/*/15.2.0/libgcc.a	libgcc-static	15.2.0-r5	GPL-2.0-or-later AND LGPL-2.1-or-later	GCC-COPYING.RUNTIME.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/gcc/APKBUILD
/usr/lib/gcc/*/15.2.0/libgcc_eh.a	gcc	15.2.0-r5	GPL-2.0-or-later AND LGPL-2.1-or-later	GCC-COPYING.RUNTIME.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/gcc/APKBUILD
/usr/lib/libstdc++.a	libstdc++-dev	15.2.0-r5	GPL-2.0-or-later AND LGPL-2.1-or-later	GCC-COPYING.RUNTIME.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/gcc/APKBUILD
/usr/lib/libc.a	musl-dev	1.2.6-r2	MIT	musl-COPYRIGHT.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/musl/APKBUILD
/usr/lib/libdl.a	musl-dev	1.2.6-r2	MIT	musl-COPYRIGHT.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/musl/APKBUILD
/usr/lib/libm.a	musl-dev	1.2.6-r2	MIT	musl-COPYRIGHT.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/musl/APKBUILD
/usr/lib/libpthread.a	musl-dev	1.2.6-r2	MIT	musl-COPYRIGHT.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/musl/APKBUILD
/usr/lib/librt.a	musl-dev	1.2.6-r2	MIT	musl-COPYRIGHT.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/musl/APKBUILD
/usr/lib/libssp_nonshared.a	musl-dev	1.2.6-r2	MIT	musl-COPYRIGHT.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/musl/APKBUILD
/usr/lib/libbcc*.a	bcc-static	0.36.1-r1	Apache-2.0	BCC-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/community/bcc/APKBUILD
/usr/lib/libbpf.a	libbpf-dev	1.7.0-r1	LGPL-2.1-only OR BSD-2-Clause	libbpf-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/libbpf/APKBUILD
/usr/lib/libbz2.a	bzip2-static	1.0.8-r6	bzip2-1.0.6	bzip2-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/bzip2/APKBUILD
/usr/lib/libdw.a	elfutils-dev	0.195-r0	GPL-3.0-or-later AND ( GPL-2.0-or-later OR LGPL-3.0-or-later )	elfutils-COPYING.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/elfutils/APKBUILD
/usr/lib/libelf.a	elfutils-dev	0.195-r0	GPL-3.0-or-later AND ( GPL-2.0-or-later OR LGPL-3.0-or-later )	elfutils-COPYING.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/elfutils/APKBUILD
/usr/lib/liblzma.a	xz-static	5.8.3-r0	GPL-2.0-or-later AND 0BSD AND Public-Domain AND LGPL-2.1-or-later	xz-COPYING.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/xz/APKBUILD
/usr/lib/libz.a	zlib-static	1.3.2-r0	Zlib	zlib-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/zlib/APKBUILD
/usr/lib/libzstd.a	zstd-static	1.5.7-r2	BSD-3-Clause OR GPL-2.0-or-later	zstd-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/zstd/APKBUILD
/usr/lib/llvm20/lib/libLLVM*.a	llvm20-static	20.1.8-r1	Apache-2.0	LLVM-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/llvm20/APKBUILD
/usr/lib/llvm20/lib/libclang*.a	clang20-static	20.1.8-r3	Apache-2.0 WITH LLVM-exception	Clang-LICENSE.txt	https://gitlab.alpinelinux.org/alpine/aports/-/blob/899cb6e3b2603542ce1f88f036c7179ccf753a8c/main/clang20/APKBUILD
