name	architecture	enabled
busybox	aarch64	true
busybox	armv7	true
busybox	x86	true
busybox	x86_64	true
gdb	aarch64	true
gdb	armv7	true
gdb	x86	true
gdb	x86_64	true
gdbserver	aarch64	true
gdbserver	armv7	true
gdbserver	x86	true
gdbserver	x86_64	true
lsof	aarch64	true
lsof	armv7	true
lsof	x86	true
lsof	x86_64	true
ltrace	aarch64	true
ltrace	armv7	true
ltrace	x86	true
ltrace	x86_64	true
nc	aarch64	true
nc	armv7	true
nc	x86	true
nc	x86_64	true
netstat	aarch64	true
netstat	armv7	true
netstat	x86	true
netstat	x86_64	true
objdump	aarch64	true
objdump	armv7	true
objdump	x86	true
objdump	x86_64	true
rsync	aarch64	true
rsync	armv7	true
rsync	x86	true
rsync	x86_64	true
socat	aarch64	true
socat	armv7	true
socat	x86	true
socat	x86_64	true
strace	aarch64	true
strace	armv7	true
strace	x86	true
strace	x86_64	true
tcpdump	aarch64	true
tcpdump	armv7	true
tcpdump	x86	true
tcpdump	x86_64	true
